Time/Date,Tickers,Headlines
2024-08-03 09:52:10,$AMZN / $AMZN,Funds trim exposure to AMZN after sector read-across
21-Sep-2023 14:52,AAPL,Sector rotation lifts AAPL in late trade
2024/02/10 15:39:13, $AAPL ,AAPL active in premarket as volume spikes
2023-01-10T06:32:09, $LYFT ,Funds trim exposure to LYFT after sector read-across
2023-11-18 12:44:37, $UBER ,Sector rotation lifts UBER in late trade
2023-11-17 06:01:07, $AAPL ,AAPL sees block trade interest — sources
05/01/2020 10:00 AM, $MSFT ,Sector rotation lifts MSFT in late trade
2024-09-12T11:25:07,$ AMZN $AMZN,AMZN sees block trade interest — sources
09/15/2024 12:28 PM, $LYFT ,LYFT active in premarket as volume spikes
2023/09/02 07:54:46, $AMZN ,Sector rotation lifts AMZN in late trade
06/16/2023 08:12 AM, $MSFT ,
2024-12-24T07:44:45, $AAPL ,Funds trim exposure to AAPL after sector read-across
2023-05-07 10:25:56,tsla ,TSLA options implied volatility elevated
05-May-2023 13:05, $CRM ,CRM active in premarket as volume spikes
2023-03-27T12:04:02,$ABNB,  ABNB sees block trade interest — sources  
2025-02-21 06:12:49,$TSLA / $AMZN,Traders debate valuation for TSLA into quarter-end
2023-11-20 15:45:38,$UBER,UBER options implied volatility elevated
03/10/2023 11:48 AM,$ AMZN $AMZN,Sector rotation lifts AMZN in late trade
2024-08-24 08:06:54,$ GOOGL $GOOGL,GOOGL moves on headline cross-asset flows
"May 01, 2020 10:00:00",TSLA,TSLA active in premarket as volume spikes
"Oct 24, 2024 07:14:27",$TSLA,TSLA active in premarket as volume spikes
02-Oct-2023 10:48,tsla ,TSLA moves on headline cross-asset flows
2024-04-20 06:47:57,$ CRM $CRM,Analysts weigh in on CRM ahead of macro data
"Sep 29, 2023 11:43:18", $META ,META active in premarket as volume spikes
07-Feb-2025 14:34,$ABNB / $UBER,ABNB sees block trade interest — sources
05/01/2020 10:00 AM,$TSLA / $MSFT,TSLA sees block trade interest — sources
2024/01/09 09:35:04,ABNB,ABNB active in premarket as volume spikes
2024-10-17 15:13:23,$AAPL,Sector rotation lifts AAPL in late trade
2024/10/23 15:32:25,$ZZTOP,Analysts weigh in on CRM ahead of macro data
2023-06-09 13:48:31,$ZZTOP,Sector rotation lifts UBER in late trade
2024-04-16 13:25:34,aapl ,AAPL options implied volatility elevated
2024-08-03 11:34:44,$AMZN / $LYFT,Sector rotation lifts AMZN in late trade
17-Jul-2023 06:01, $UBER ,Analysts weigh in on UBER ahead of macro data
2025-01-10T13:17:59,uber ,Analysts weigh in on UBER ahead of macro data
04/08/2024 03:59 PM,$LYFT / $LYFT,Sector rotation lifts LYFT in late trade
2023-06-27T09:46:37, $AMZN ,AMZN sees block trade interest — sources
06/25/2023 08:31 AM, $CRM ,Sector rotation lifts CRM in late trade
04/03/2023 12:27 PM,$CRM,CRM active in premarket as volume spikes
15-Dec-2024 09:36,$ZZTOP,Traders debate valuation for TSLA into quarter-end
"Apr 05, 2023 11:33:19", $GOOGL ,GOOGL options implied volatility elevated
2024-09-08T14:15:18,AMZN,Sector rotation lifts AMZN in late trade
2023-03-26 11:29:43,MSFT,MSFT active in premarket as volume spikes
2024-04-17 16:03:09,$UBER / $ABNB,UBER sees block trade interest — sources
2023-10-04 14:13:29, $CRM ,CRM sees block trade interest — sources
2023-06-20 13:14:32,$ TSLA $TSLA,Analysts weigh in on TSLA ahead of macro data
12/18/2024 04:21 PM,msft ,Traders debate valuation for MSFT into quarter-end
02/07/2023 10:22 AM,$ZZTOP,UBER sees block trade interest — sources
2024-06-22T14:50:01,$UBER,Funds trim exposure to UBER after sector read-across
2024-03-07 09:53:04, $UBER ,UBER sees block trade interest — sources
2023-02-16 10:59:54, $GOOGL ,Sector rotation lifts GOOGL in late trade
2023-09-02 16:29:41,$ TSLA $TSLA,Funds trim exposure to TSLA after sector read-across
2023-03-10 09:45:26, $GOOGL ,Sector rotation lifts GOOGL in late trade
2024-04-26 14:28:41,$CRM / $LYFT,Sector rotation lifts CRM in late trade
"Aug 15, 2024 08:49:50",uber ,UBER active in premarket as volume spikes
07/06/2023 08:18 AM, $AAPL ,Traders debate valuation for AAPL into quarter-end
30-Nov-2023 09:35, $TSLA ,  Sector rotation lifts TSLA in late trade  
23-Aug-2023 16:43, $TSLA ,"Sector rotation lifts TSLA in late trade
( wire )"
12-Mar-2024 10:59,$LYFT / $LYFT,Funds trim exposure to LYFT after sector read-across
2020-05-01 10:00:00, $UBER ,UBER active in premarket as volume spikes
2024-12-30 12:55:07, $GOOGL ,GOOGL active in premarket as volume spikes
2024-08-03 10:11:36,$ ABNB $ABNB,ABNB moves on headline cross-asset flows
2024-11-21T16:36:56, $LYFT ,LYFT options implied volatility elevated
2024-07-10 13:41:23,$ GOOGL $GOOGL,Analysts weigh in on GOOGL ahead of macro data
2023-06-20 15:22:24,AMZN,AMZN active in premarket as volume spikes
2025-03-26 10:32:11, $CRM ,CRM moves on headline cross-asset flows
2024-06-07 12:19:00, $AAPL ,AAPL active in premarket as volume spikes
2023-12-04 15:13:29,$TSLA / $CRM,"TSLA sees block trade interest — sources
( wire )"
2024-04-11 11:18:33, $UBER ,UBER options implied volatility elevated
2023-06-05 10:18:19,$ LYFT $LYFT,
2024-10-27T16:56:02, $GOOGL ,  Analysts weigh in on GOOGL ahead of macro data  
19-May-2023 10:01,GOOGL,Funds trim exposure to GOOGL after sector read-across
"Sep 17, 2024 16:48:55",$ META $META,Funds trim exposure to META after sector read-across
2023/07/11 08:12:46, $UBER ,Sector rotation lifts UBER in late trade
"Sep 22, 2023 15:45:31",$UBER,UBER options implied volatility elevated
2024-07-10 15:48:26,$ MSFT $MSFT,
2024/11/16 09:48:31, $AAPL ,Sector rotation lifts AAPL in late trade
2024-11-03 16:00:48,$ META $META,META sees block trade interest — sources
2024/10/06 13:11:07,googl ,Traders debate valuation for GOOGL into quarter-end
07/24/2023 12:49 PM,$AMZN,AMZN moves on headline cross-asset flows
2024-04-10 09:49:18, $LYFT ,LYFT sees block trade interest — sources
2023-09-28 07:35:12,uber ,"""Sector rotation lifts UBER in late trade"""
2023-05-30T12:49:10, $GOOGL ,Sector rotation lifts GOOGL in late trade
01/25/2024 10:47 AM, $AAPL ,Sector rotation lifts AAPL in late trade
09-Jan-2024 07:17, $LYFT ,LYFT options implied volatility elevated
"Nov 11, 2023 15:31:53",$ ABNB $ABNB,ABNB active in premarket as volume spikes
"May 29, 2023 09:24:21", $UBER ,UBER active in premarket as volume spikes
"Mar 20, 2025 12:59:04",$META / $AAPL,  Funds trim exposure to META after sector read-across  
2023/05/26 06:42:24,$AMZN / $ABNB,AMZN moves on headline cross-asset flows
2023-09-02 07:51:17,abnb ,ABNB active in premarket as volume spikes
2023-12-27 08:25:47,lyft ,Funds trim exposure to LYFT after sector read-across
2024-05-08T13:30:45,$MSFT / $UBER,Traders debate valuation for MSFT into quarter-end
2025-03-18 13:15:09,$ LYFT $LYFT,LYFT sees block trade interest — sources
2023-10-04 12:58:36, $MSFT ,Sector rotation lifts MSFT in late trade
2023-07-25 15:38:00, $GOOGL ,Traders debate valuation for GOOGL into quarter-end
2024-11-20 12:33:11, $MSFT ,Sector rotation lifts MSFT in late trade
2023-04-12T09:38:47,AAPL,AAPL sees block trade interest — sources
2024-12-09 14:54:07,AAPL,  AAPL active in premarket as volume spikes  
2024-08-07T16:27:03, $AMZN ,AMZN options implied volatility elevated
05/25/2024 12:38 PM, $AAPL ,Analysts weigh in on AAPL ahead of macro data
"Apr 01, 2024 12:04:29", $AMZN ,AMZN active in premarket as volume spikes
2024-09-01T10:36:11,$ AAPL $AAPL,Traders debate valuation for AAPL into quarter-end
11/01/2024 02:44 PM,msft ,MSFT sees block trade interest — sources
2024-06-19 16:55:49, $UBER ,Sector rotation lifts UBER in late trade
2023-05-03T11:11:36, $LYFT ,LYFT moves on headline cross-asset flows
2025-02-02 07:26:31,$CRM / $MSFT,CRM sees block trade interest — sources
2023/02/04 09:34:02,$ AMZN $AMZN,Analysts weigh in on AMZN ahead of macro data
2023/09/22 13:24:59, $LYFT ,LYFT active in premarket as volume spikes
"Aug 02, 2024 15:32:45",$ZZTOP,TSLA sees block trade interest — sources
2023-12-01 07:05:35,$GOOGL,Traders debate valuation for GOOGL into quarter-end
2023/01/15 08:52:52,MSFT,"""MSFT moves on headline cross-asset flows"""
11-Feb-2024 16:41, $CRM ,CRM options implied volatility elevated
"Dec 28, 2023 09:29:39",META,META moves on headline cross-asset flows
15-Oct-2024 15:44,$ UBER $UBER,UBER active in premarket as volume spikes
"Aug 02, 2024 12:41:06", $LYFT ,Analysts weigh in on LYFT ahead of macro data
2023-01-28 15:10:15,META,META options implied volatility elevated
2024-05-07 14:04:11,amzn ,Sector rotation lifts AMZN in late trade
2023-10-03 16:34:48,$ZZTOP,Sector rotation lifts UBER in late trade
2025-02-26 11:53:00,$ GOOGL $GOOGL,Analysts weigh in on GOOGL ahead of macro data
07/02/2024 12:45 PM, $ABNB ,ABNB sees block trade interest — sources
16-Jul-2024 16:40, $GOOGL ,GOOGL active in premarket as volume spikes
2024-08-20 07:08:24, $LYFT ,Sector rotation lifts LYFT in late trade
2023-04-10T11:46:27,$ LYFT $LYFT,LYFT sees block trade interest — sources
2024-07-06 11:33:43, $MSFT ,Traders debate valuation for MSFT into quarter-end
2023/12/27 14:33:20,amzn ,Traders debate valuation for AMZN into quarter-end
15-Sep-2023 07:01,msft ,Analysts weigh in on MSFT ahead of macro data
2024/07/06 10:41:58,$ZZTOP,Sector rotation lifts AAPL in late trade
2023-12-04 14:01:14,$MSFT / $TSLA,Traders debate valuation for MSFT into quarter-end
2023-12-06T12:56:30,AMZN,Analysts weigh in on AMZN ahead of macro data
18-Jan-2025 15:01,$AAPL / $TSLA,AAPL moves on headline cross-asset flows
04/09/2024 02:08 PM,$ AMZN $AMZN,AMZN moves on headline cross-asset flows
2023-02-10 11:42:26,$META,META moves on headline cross-asset flows
06-Nov-2024 16:03, $LYFT ,LYFT options implied volatility elevated
2024-10-07 13:40:01, $LYFT ,LYFT options implied volatility elevated
2023-12-07T12:18:15,AMZN,  AMZN moves on headline cross-asset flows  
"Mar 18, 2024 11:16:00",$META,Funds trim exposure to META after sector read-across
2020-05-01 10:00:00,$ZZTOP,AMZN moves on headline cross-asset flows
2023-10-29T06:39:00,UBER,UBER options implied volatility elevated
"Mar 10, 2025 11:34:47",$ TSLA $TSLA,Sector rotation lifts TSLA in late trade
2023-08-27 12:41:24, $GOOGL ,GOOGL moves on headline cross-asset flows
2023-02-28 14:39:08, $MSFT ,  Analysts weigh in on MSFT ahead of macro data  
26-Jul-2024 07:50, $UBER ,UBER active in premarket as volume spikes
"May 09, 2023 11:12:37",$META / $MSFT,META sees block trade interest — sources
2025/02/23 11:38:23,$TSLA,TSLA moves on headline cross-asset flows
2024-10-23 14:37:57, $AMZN ,  Funds trim exposure to AMZN after sector read-across  
"Mar 16, 2024 10:59:24", $UBER ,Analysts weigh in on UBER ahead of macro data
2023-10-21 10:53:05,amzn ,Funds trim exposure to AMZN after sector read-across
08-Dec-2024 14:08, $UBER ,  UBER options implied volatility elevated  
2024-07-29 14:31:15, $LYFT ,Analysts weigh in on LYFT ahead of macro data
2024/09/17 06:36:45,tsla ,Traders debate valuation for TSLA into quarter-end
11/15/2024 07:30 AM, $ABNB ,Sector rotation lifts ABNB in late trade
2023/07/17 07:06:14, $AAPL ,
2023-03-19 15:07:55, $CRM ,CRM options implied volatility elevated
2023-11-30 09:38:17, $MSFT ,"MSFT moves on headline cross-asset flows
( wire )"
2023/09/19 06:32:19,$GOOGL,Analysts weigh in on GOOGL ahead of macro data
2023-05-28 14:38:17, $ABNB ,Funds trim exposure to ABNB after sector read-across
2024-06-24 11:30:06, $GOOGL ,Analysts weigh in on GOOGL ahead of macro data
"Oct 26, 2023 15:37:16", $ABNB ,Analysts weigh in on ABNB ahead of macro data
04-Mar-2024 12:40,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
2023/04/16 14:06:32, $AAPL ,Analysts weigh in on AAPL ahead of macro data
2023/07/06 11:09:50, $UBER ,
"Apr 01, 2024 15:46:25",UBER,UBER active in premarket as volume spikes
2023-04-01T06:39:09,abnb ,Sector rotation lifts ABNB in late trade
2024-01-12 06:16:21,AMZN,AMZN options implied volatility elevated
2024/08/16 11:46:08, $META ,Analysts weigh in on META ahead of macro data
2023/06/02 12:51:52,$ABNB / $MSFT,Sector rotation lifts ABNB in late trade
2023-12-03 11:15:46, $MSFT ,Analysts weigh in on MSFT ahead of macro data
2023-11-11 09:43:36, $ABNB ,ABNB moves on headline cross-asset flows
"Jul 29, 2023 09:37:22",$ TSLA $TSLA,Funds trim exposure to TSLA after sector read-across
2023-01-08 12:01:33, $META ,Traders debate valuation for META into quarter-end
2023-03-23 07:12:05,$UBER / $CRM,Analysts weigh in on UBER ahead of macro data
2020-05-01T10:00:00, $UBER ,UBER active in premarket as volume spikes
2023-05-12 07:57:37,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
24-Jun-2024 16:45,tsla ,TSLA options implied volatility elevated
03-Feb-2024 10:30,$ AAPL $AAPL,AAPL active in premarket as volume spikes
2024/11/11 15:04:17, $ABNB ,Sector rotation lifts ABNB in late trade
2023-10-29T13:06:56, $UBER ,"""UBER options implied volatility elevated"""
2023-10-24 12:33:06, $META ,Sector rotation lifts META in late trade
2023-04-09 13:00:53,$TSLA / $TSLA,TSLA sees block trade interest — sources
2024-04-09 14:46:24,$GOOGL / $TSLA,Sector rotation lifts GOOGL in late trade
2025/03/24 11:06:06, $AMZN ,Analysts weigh in on AMZN ahead of macro data
2024-05-03 08:06:31, $GOOGL ,Traders debate valuation for GOOGL into quarter-end
2023/03/25 08:27:47, $ABNB ,"ABNB options implied volatility elevated
( wire )"
2024-06-03 08:26:36,tsla ,Traders debate valuation for TSLA into quarter-end
26-May-2024 11:53,$ GOOGL $GOOGL,Sector rotation lifts GOOGL in late trade
10/28/2023 04:24 PM,LYFT,Traders debate valuation for LYFT into quarter-end
2024-04-24 12:27:37,aapl ,AAPL moves on headline cross-asset flows
"Apr 01, 2023 15:15:36", $META ,"META options implied volatility elevated
( wire )"
"Nov 06, 2024 16:37:48", $TSLA ,Traders debate valuation for TSLA into quarter-end
2023-01-08 08:39:18,$LYFT,LYFT active in premarket as volume spikes
2023-02-16 07:38:21,META,META sees block trade interest — sources
2024-06-01 06:56:34,$ ABNB $ABNB,Traders debate valuation for ABNB into quarter-end
2024-04-27 06:41:43,CRM,Sector rotation lifts CRM in late trade
08/21/2023 04:50 PM,$ TSLA $TSLA,TSLA active in premarket as volume spikes
2024/08/05 08:12:25,ABNB,ABNB moves on headline cross-asset flows
2023/07/08 08:21:44, $GOOGL ,Sector rotation lifts GOOGL in late trade
2024-08-21 07:46:58, $UBER ,UBER sees block trade interest — sources
2023-04-25 08:31:55, $META ,META options implied volatility elevated
"Aug 21, 2024 07:40:19",amzn ,"Traders debate valuation for AMZN into quarter-end
( wire )"
2024/06/12 06:02:53, $CRM ,Funds trim exposure to CRM after sector read-across
"Jul 03, 2024 11:04:20", $TSLA ,Funds trim exposure to TSLA after sector read-across
08/01/2023 02:29 PM, $GOOGL ,GOOGL active in premarket as volume spikes
2025-02-07 16:53:42,$ABNB,Analysts weigh in on ABNB ahead of macro data
2023-08-27 16:29:32,crm ,Traders debate valuation for CRM into quarter-end
11/09/2024 11:26 AM, $TSLA ,TSLA moves on headline cross-asset flows
"Jul 19, 2023 09:10:00",$MSFT,Analysts weigh in on MSFT ahead of macro data
2024-11-14T07:29:19, $META ,META options implied volatility elevated
2023-07-12T10:03:58,$ META $META,META active in premarket as volume spikes
2020-05-01T10:00:00, $ABNB ,  ABNB options implied volatility elevated  
08-May-2024 08:32, $ABNB ,Traders debate valuation for ABNB into quarter-end
2023/12/23 12:30:13, $GOOGL ,Funds trim exposure to GOOGL after sector read-across
2023/08/12 10:44:37, $AMZN ,AMZN sees block trade interest — sources
31-Dec-2023 11:57,$ GOOGL $GOOGL,GOOGL options implied volatility elevated
2024-11-25 16:56:52,AAPL,AAPL moves on headline cross-asset flows
12/14/2023 01:18 PM,$ AMZN $AMZN,Analysts weigh in on AMZN ahead of macro data
2024/03/03 15:35:28,$META / $AAPL,META sees block trade interest — sources
09/01/2024 06:57 AM,msft ,"""MSFT active in premarket as volume spikes"""
"Dec 05, 2023 09:19:28", $MSFT ,Sector rotation lifts MSFT in late trade
2025-03-25 11:11:54, $MSFT ,MSFT options implied volatility elevated
2025-01-07 15:08:48,LYFT,LYFT options implied volatility elevated
04/01/2023 10:09 AM, $AAPL ,Funds trim exposure to AAPL after sector read-across
"Nov 12, 2023 16:35:44", $MSFT ,Sector rotation lifts MSFT in late trade
2023-04-14 16:09:56, $LYFT ,  LYFT moves on headline cross-asset flows  
2020-05-01 10:00:00, $AAPL ,AAPL active in premarket as volume spikes
2024/10/29 10:51:01, $UBER ,UBER moves on headline cross-asset flows
01-Aug-2023 09:14, $LYFT ,LYFT active in premarket as volume spikes
10/31/2024 10:04 AM,GOOGL,GOOGL moves on headline cross-asset flows
2023-02-08 14:35:26,$CRM / $AMZN,CRM active in premarket as volume spikes
"Jan 21, 2024 09:55:02", $MSFT ,Funds trim exposure to MSFT after sector read-across
09/03/2023 06:38 AM, $ABNB ,Analysts weigh in on ABNB ahead of macro data
2020-05-01T10:00:00,$ META $META,META options implied volatility elevated
2024-05-07 09:02:12,$ META $META,Analysts weigh in on META ahead of macro data
"Feb 08, 2023 13:16:23",$ABNB,Funds trim exposure to ABNB after sector read-across
2023-12-21T16:28:09, $TSLA ,TSLA options implied volatility elevated
04/02/2024 06:16 AM,$ZZTOP,  Analysts weigh in on GOOGL ahead of macro data  
03/16/2025 10:09 AM,$ AMZN $AMZN,AMZN sees block trade interest — sources
2024/05/14 08:53:40,$ UBER $UBER,UBER active in premarket as volume spikes
2023-01-01 16:12:01,ABNB,ABNB active in premarket as volume spikes
"Oct 22, 2024 06:06:11",$GOOGL / $MSFT,Sector rotation lifts GOOGL in late trade
2023-09-17 10:28:49,$ AAPL $AAPL,AAPL active in premarket as volume spikes
2025-03-18 16:30:33,$ MSFT $MSFT,Sector rotation lifts MSFT in late trade
2024/03/11 14:50:11, $META ,Traders debate valuation for META into quarter-end
2023-07-16 13:53:10, $CRM ,"Analysts weigh in on CRM ahead of macro data
( wire )"
2023-05-10T06:21:47, $ABNB ,ABNB options implied volatility elevated
14-Apr-2024 08:50, $TSLA ,TSLA sees block trade interest — sources
2023-04-25T16:04:54,$ MSFT $MSFT,MSFT sees block trade interest — sources
15-Jan-2024 12:50,$TSLA,TSLA moves on headline cross-asset flows
"Jan 28, 2024 12:19:00",$ CRM $CRM,CRM moves on headline cross-asset flows
"Jul 28, 2024 09:53:17", $LYFT ,  Traders debate valuation for LYFT into quarter-end  
2023/05/23 08:16:10, $GOOGL ,GOOGL moves on headline cross-asset flows
16-Aug-2023 06:00,UBER,UBER sees block trade interest — sources
2024-10-05 14:50:00,GOOGL,GOOGL options implied volatility elevated
2023-05-19T10:22:20,LYFT,Traders debate valuation for LYFT into quarter-end
"Jun 19, 2023 12:36:39",TSLA,"""TSLA options implied volatility elevated"""
2024-12-12 14:21:04, $GOOGL ,Sector rotation lifts GOOGL in late trade
2023-09-02 14:29:01, $AAPL ,AAPL sees block trade interest — sources
2023-12-16 06:48:55,$UBER,Analysts weigh in on UBER ahead of macro data
"Sep 23, 2024 16:41:19", $TSLA ,TSLA options implied volatility elevated
09-Mar-2023 11:39, $UBER ,Funds trim exposure to UBER after sector read-across
2023-07-16 12:19:00,msft ,Analysts weigh in on MSFT ahead of macro data
24-Oct-2023 09:47, $UBER ,UBER options implied volatility elevated
"Aug 09, 2024 09:40:29", $ABNB ,
2023-09-11T16:47:23,$AMZN,Analysts weigh in on AMZN ahead of macro data
"Sep 11, 2023 11:30:55", $TSLA ,TSLA moves on headline cross-asset flows
2025-02-07 12:27:20, $UBER ,UBER options implied volatility elevated
10/25/2023 01:04 PM, $AMZN ,Funds trim exposure to AMZN after sector read-across
2024/07/07 11:34:15,$ ABNB $ABNB,Traders debate valuation for ABNB into quarter-end
03/16/2023 03:29 PM, $LYFT ,LYFT moves on headline cross-asset flows
2023/04/23 07:03:37, $CRM ,Analysts weigh in on CRM ahead of macro data
2024-08-22T06:17:28, $MSFT ,MSFT active in premarket as volume spikes
2023/06/09 12:50:31,$ZZTOP,Funds trim exposure to AMZN after sector read-across
2023-11-16 06:33:18, $CRM ,CRM moves on headline cross-asset flows
2024/12/16 16:57:25, $GOOGL ,GOOGL active in premarket as volume spikes
2023-04-02 06:14:04,$ABNB / $ABNB,ABNB options implied volatility elevated
2023-09-28 13:48:38, $MSFT ,MSFT sees block trade interest — sources
2024/12/25 12:22:42,$ZZTOP,Funds trim exposure to ABNB after sector read-across
2023-03-07 10:22:08, $LYFT ,Traders debate valuation for LYFT into quarter-end
06/09/2023 10:37 AM,$ UBER $UBER,UBER active in premarket as volume spikes
2024-03-18 10:13:00, $META ,META sees block trade interest — sources
"Apr 03, 2024 10:48:22", $TSLA ,Funds trim exposure to TSLA after sector read-across
2023-07-03T16:36:24,$ LYFT $LYFT,LYFT active in premarket as volume spikes
03/24/2025 06:49 AM,$ ABNB $ABNB,ABNB active in premarket as volume spikes
2024-12-22 08:15:29,$ AAPL $AAPL,AAPL active in premarket as volume spikes
2024/01/23 14:02:31,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
2023-01-02 12:06:22,$ZZTOP,"Funds trim exposure to META after sector read-across
( wire )"
2024-04-13 11:54:33, $META ,"META active in premarket as volume spikes
( wire )"
2024-11-09 11:26:37,CRM,CRM options implied volatility elevated
2024-11-23 11:18:57,TSLA,TSLA sees block trade interest — sources
2023-03-31 07:11:21, $AAPL ,AAPL sees block trade interest — sources
2024/01/14 09:42:38,lyft ,LYFT moves on headline cross-asset flows
"Jun 20, 2023 09:50:31", $TSLA ,Sector rotation lifts TSLA in late trade
"Aug 24, 2024 14:01:24",$ZZTOP,AAPL active in premarket as volume spikes
2024-04-06T12:00:52,googl ,Funds trim exposure to GOOGL after sector read-across
2024-11-20T07:13:55,$GOOGL / $UBER,Sector rotation lifts GOOGL in late trade
2024-05-20 15:07:47,$MSFT,Analysts weigh in on MSFT ahead of macro data
2025/03/11 16:11:36, $CRM ,Funds trim exposure to CRM after sector read-across
2023-07-05T14:50:15,$META,META sees block trade interest — sources
"Feb 16, 2025 15:17:59",$CRM,CRM active in premarket as volume spikes
"Jan 25, 2023 10:56:52", $TSLA ,Funds trim exposure to TSLA after sector read-across
"May 01, 2020 10:00:00",$GOOGL / $GOOGL,GOOGL options implied volatility elevated
2025/03/03 13:34:57, $ABNB ,"""Funds trim exposure to ABNB after sector read-across"""
2023-02-12 08:14:20, $TSLA ,Funds trim exposure to TSLA after sector read-across
18-May-2023 10:21, $META ,META sees block trade interest — sources
"Oct 25, 2024 06:40:39", $LYFT ,Sector rotation lifts LYFT in late trade
2024-11-06T09:37:29, $LYFT ,LYFT moves on headline cross-asset flows
2025-03-19 14:29:31,$ TSLA $TSLA,Funds trim exposure to TSLA after sector read-across
2024-08-16 11:11:36,$ZZTOP,Analysts weigh in on AAPL ahead of macro data
2024-07-31 09:26:36, $TSLA ,TSLA moves on headline cross-asset flows
"May 01, 2020 10:00:00",$ LYFT $LYFT,Sector rotation lifts LYFT in late trade
2024-04-19 12:10:03, $AAPL ,AAPL sees block trade interest — sources
"Jun 12, 2023 13:36:33",$ TSLA $TSLA,Traders debate valuation for TSLA into quarter-end
2023-05-26 14:37:38,aapl ,Analysts weigh in on AAPL ahead of macro data
2023-10-27 06:00:38,$LYFT,Traders debate valuation for LYFT into quarter-end
07/26/2023 08:16 AM,$GOOGL,GOOGL active in premarket as volume spikes
"Jan 22, 2025 15:25:43",$TSLA / $ABNB,Sector rotation lifts TSLA in late trade
2023-03-12T07:31:49,$ GOOGL $GOOGL,Sector rotation lifts GOOGL in late trade
2020-05-01T10:00:00, $LYFT ,Traders debate valuation for LYFT into quarter-end
30-Sep-2024 09:57,$AAPL / $AMZN,"""AAPL active in premarket as volume spikes"""
2024-04-03 15:39:44, $UBER ,"""Analysts weigh in on UBER ahead of macro data"""
"Jul 12, 2023 16:59:53", $UBER ,UBER sees block trade interest — sources
2023-05-05T13:45:35,$AAPL / $UBER,AAPL active in premarket as volume spikes
2023-03-18 12:29:21,$ MSFT $MSFT,MSFT active in premarket as volume spikes
"Jan 31, 2025 06:47:23", $UBER ,
13-Jul-2023 15:54,$ LYFT $LYFT,LYFT sees block trade interest — sources
2020-05-01 10:00:00, $GOOGL ,GOOGL moves on headline cross-asset flows
2023-01-06T13:05:40,tsla ,Funds trim exposure to TSLA after sector read-across
2023-05-12T08:34:34,$ LYFT $LYFT,Sector rotation lifts LYFT in late trade
2020-05-01T10:00:00, $LYFT ,Analysts weigh in on LYFT ahead of macro data
07/01/2023 04:16 PM,$UBER,Analysts weigh in on UBER ahead of macro data
2023-02-13T15:36:04, $ABNB ,ABNB options implied volatility elevated
03/09/2025 08:17 AM,$TSLA / $META,Sector rotation lifts TSLA in late trade
02/21/2025 04:34 PM, $AMZN ,Funds trim exposure to AMZN after sector read-across
18-Jul-2024 08:43,$ LYFT $LYFT,Funds trim exposure to LYFT after sector read-across
"Nov 04, 2024 12:27:06",amzn ,AMZN options implied volatility elevated
2024/01/26 15:11:37, $UBER ,UBER active in premarket as volume spikes
2024-01-11 16:10:02, $CRM ,Sector rotation lifts CRM in late trade
2025-01-14 12:52:18, $CRM ,Analysts weigh in on CRM ahead of macro data
2023-05-27T15:36:51, $LYFT ,LYFT options implied volatility elevated
2024-07-18 11:04:28,ABNB,ABNB options implied volatility elevated
2024-06-20T15:21:41,$ MSFT $MSFT,MSFT active in premarket as volume spikes
2023-04-14 10:40:09, $LYFT ,LYFT active in premarket as volume spikes
04/01/2023 12:04 PM, $LYFT ,LYFT active in premarket as volume spikes
2024-04-19 13:26:15,$ABNB / $TSLA,Funds trim exposure to ABNB after sector read-across
2020-05-01 10:00:00,$ABNB / $CRM,Analysts weigh in on ABNB ahead of macro data
01/19/2025 03:25 PM, $META ,Traders debate valuation for META into quarter-end
18-Apr-2024 10:03,$ AAPL $AAPL,Funds trim exposure to AAPL after sector read-across
2024-09-14 09:53:49,$ CRM $CRM,CRM options implied volatility elevated
2025/01/19 12:14:17, $CRM ,CRM active in premarket as volume spikes
2023/01/20 08:36:48,$ MSFT $MSFT,Analysts weigh in on MSFT ahead of macro data
10-Jul-2024 14:43,$AMZN,Sector rotation lifts AMZN in late trade
31-May-2024 16:39, $CRM ,Traders debate valuation for CRM into quarter-end
2023-06-13 06:01:47,$ZZTOP,AAPL active in premarket as volume spikes
2024-05-08 06:17:54,$ TSLA $TSLA,TSLA sees block trade interest — sources
2024-12-30 15:21:13,$ABNB / $UBER,ABNB options implied volatility elevated
17-Jun-2024 12:32,$ TSLA $TSLA,"Analysts weigh in on TSLA ahead of macro data
( wire )"
2025-03-31 09:25:17, $LYFT ,LYFT sees block trade interest — sources
2024-06-06T09:31:43,$ ABNB $ABNB,ABNB sees block trade interest — sources
2024-07-14 06:42:47,$META / $MSFT,
31-May-2023 07:08, $AMZN ,Funds trim exposure to AMZN after sector read-across
"Jun 13, 2023 06:27:29",$ GOOGL $GOOGL,Traders debate valuation for GOOGL into quarter-end
2023-11-25 16:33:12, $AMZN ,Traders debate valuation for AMZN into quarter-end
2024/05/02 11:56:53,amzn ,Funds trim exposure to AMZN after sector read-across
15-May-2023 09:10,tsla ,TSLA active in premarket as volume spikes
2020-05-01 10:00:00, $META ,Funds trim exposure to META after sector read-across
"Sep 16, 2023 11:35:04", $MSFT ,"""MSFT active in premarket as volume spikes"""
